Team_A,Team_A_Av(GD),Team_B,Team_B_Av(GD)
SD Amorebieta,-0.6086956521739131,CD Eldense,-0.217391304347826
Sevilla FC Femenino,0.0769230769230769,Villarreal CF Femenino,-1.1538461538461535
Sporting de Gijón,0.5217391304347826,CD Tenerife,0.0
UD Las Palmas,0.0454545454545454,Rayo Vallecano,0.1818181818181818
Valencia CF,0.1363636363636363,Athletic Club,1.0909090909090908
Villarreal CF B,-0.3333333333333333,RCD Espanyol,0.0769230769230769
Villarreal CF Femenino,-1.1538461538461535,Sevilla FC Femenino,0.0769230769230769
BSC Young Boys,0.7692307692307693,Grasshopper Club Zürich,0.1379310344827586
FC Lausanne-Sport,-0.2777777777777778,FC St. Gallen,0.6666666666666666
FC St. Gallen,0.6666666666666666,FC Lausanne-Sport,-0.2777777777777778
FC Winterthur,-0.3888888888888889,Servette FC,-0.0714285714285714
Grasshopper Club Zürich,0.1379310344827586,BSC Young Boys,0.7692307692307693
Servette FC,-0.0714285714285714,FC Winterthur,-0.3888888888888889
